lon,lat,ROUTE_NUMBER,DELAY,Current_Stop,From,Destination,Direction,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.26712,49.01659,Os 9103 ,300,Šarišské Lúky,Prešov,Strážske,36,1615004099475,6,5,14,59
21.27623,48.67927,Os 6403 ,0,Barca,Moldava nad Bodvou mesto,Košice,26,1615004684687,6,5,24,44
21.91384,48.39032,Os 8851 ,0,Veľký Horeš,Michaľany,Čierna nad Tisou,0,1615005239933,6,5,33,59
21.77576,48.65229,Os 9003 ,0,Hrinište,Michaľany,Humenné,38,1615005269947,6,5,34,29
21.22393,48.85288,Os 7802 ,180,Kysak,Košice,Poprad-Tatry,9,1615005540092,6,5,39,0
21.82483,48.86766,REX 1902 ,0,Strážske,Humenné,Košice,10,1615005765220,6,5,42,45
21.42887,48.67311,Os 8803 ,60,Ruskov,Košice,Čierna nad Tisou,8,1615005930637,6,5,45,30
21.83458,48.67913,Os 9003 ,420,Bánovce nad Ondavou,Michaľany,Humenné,38,1615005930637,6,5,45,30
20.51402,48.63529,R 801 GEMERAN POĽANA,0,Rožňava,Bratislava-Nové Mesto,Prešov,43,1615006035310,6,5,47,15
21.89858,48.75074,Os 9003 ,0,Michalovce,Michaľany,Humenné,38,1615006560497,6,5,56,0
21.6262,48.52172,Os 8804 ,0,Michaľany,Čierna nad Tisou,Košice,25,1615006755552,6,5,59,15
21.01324,48.89469,Os 7802 ,60,Margecany,Košice,Poprad-Tatry,9,1615006800570,6,6,0,0
21.01324,48.89469,Os 7802 ,60,Margecany,Košice,Poprad-Tatry,9,1615006815662,6,6,0,15
21.71184,48.63306,REX 1902 ,0,Trebišov,Humenné,Košice,10,1615007565762,6,6,12,45
21.67319,48.89062,Os 9103 ,0,Vranov nad Topľou,Prešov,Strážske,36,1615007700790,6,6,15,0
21.83458,48.67913,R 615 TATRAN ZEMPLÍN,900,Bánovce nad Ondavou,Bratislava hlavná stanica,Humenné,30,1615007790805,6,6,16,30
21.67169,48.57716,Os 9004 ,0,Úpor,Trebišov,Michaľany,42,1615008300974,6,6,25,0
21.42887,48.67311,Os 8804 ,180,Ruskov,Čierna nad Tisou,Košice,25,1615008315957,6,6,25,15
21.56926,48.98993,Os 9104 ,0,Čierne nad Topľou,Humenné,Prešov,3,1615008886137,6,6,34,46
21.82483,48.86766,Os 9103 ,480,Strážske,Prešov,Strážske,36,1615009366243,6,6,42,46
21.519728,49.019015,Os 9105 ,0,Hanušovce nad Topľou,Prešov,Humenné,12,1615009576276,6,6,46,16
21.83458,48.67913,Os 9005 ,300,Bánovce nad Ondavou,Michaľany,Humenné,38,1615009726332,6,6,48,46
21.83458,48.67913,Os 9005 ,720,Bánovce nad Ondavou,Michaľany,Humenné,38,1615010101469,6,6,55,1
21.95465,49.05145,Os 8904 ,0,Koškovce,Medzilaborce mesto,Humenné,1,1615010761686,6,7,6,1
21.95465,49.05145,Os 8904 ,0,Koškovce,Medzilaborce mesto,Humenné,1,1615010806704,6,7,6,46
21.32044,49.04386,Os 9104 ,0,Kapušany pri Prešove,Humenné,Prešov,3,1615011031752,6,7,10,31
21.26712,49.01659,Os 9104 ,0,Šarišské Lúky,Humenné,Prešov,3,1615011526902,6,7,18,46
21.22393,48.85288,R 801 GEMERAN POĽANA,240,Kysak,Bratislava-Nové Mesto,Prešov,43,1615011767008,6,7,22,47
21.75188,48.85705,Os 9105 ,0,Nižný Hrabovec,Prešov,Humenné,12,1615011917066,6,7,25,17
21.26872,48.72291,Os 8506 ,300,Košice,Košice,Lipany,21,1615012967328,6,7,42,47
